기업명,직무,주요 업무,자격 요건,우대 사항
(주)미리디,AI 프로덕트 매니저 (PM/PO)_미리캔버스,"""미리디에서 이런 일들을 함께 하고 싶어요""

? 문제 발견-정의-개발-전달까지 미리캔버스의 프로덕트 매니지먼트 업무를 담당합니다.
? 정의된 문제를 AI 기술을 활용하여 해결책을 제시하고, 프로덕트로 구현합니다.
? 데이터 분석, UX 리서치, 시장 조사 등을 통해 문제를 발견하고 정의합니다.
? PRD, 사용자 스토리, PRFAQ, 고객 가이드 문서 등을 작성합니다.
? 프리토타이핑, 디자인씽킹, 애자일, 린스타트업 기반으로 문제를 해결합니다.
? 스쿼드를 관리하고 맡은 영역에 있어 중심 역할로서 상하좌우 적극적인 소통 및 의사결정을 이끕니다.
? 서비스 관련 OKR 수립 및 실행을 담당합니다.",""" 아래 사항을 갖춘 분이라면 목표 달성에 확신을 얻을 것 같아요 ""

? AI와 관련된 논문을 읽고 실무에 적용할 수 있는 분 (기타사항 - 과제1)
? 문제 해결에 적합한 AI 모델을 발견하고 문제에 대한 해결책으로 제시할 수 있는 분 (기타사항 - 과제2)
? AI에 대한 이해를 바탕으로 해결책을 제안하고, 실현 가능성과 방향성을 제시할 수 있는 분
? 미리캔버스 혹은 유사 서비스나 툴 사용 경험이 풍부하신 분
? 프로덕트 매니저로서의 역량이 탁월하신 분 (문제 정의, 비전 제시, 목표 달성 능력, 소통 능력, 우선순위 및 일정 관리)
? 적극적인 소통과 일을 되게 하기 위한 집념을 가지고 계신 분
? 학습 및 성장 욕구가 강하신 분","""이런 분이라면 장기적으로 서로에게 더 긍정적일 것 같아요!""

? AI 관련 상용 서비스 출시 및 운영에 참여해 보신 경험이 있으신 분
? AI 관련 전공 석사 학위 이상 소유하신 분
? 창업에 관심이 있거나 혹은 스타트업에서 주도적으로 업무를 수행했거나 수행하고 싶으신 분
? 미리캔버스 서비스 도메인에 대한 비전을 가지고 계신 분
? 디자인씽킹, 애자일, 린스타트업 기반의 업무 환경에서 일하고 싶으신 분
! 프로덕트 매니저에게 담당하는 프로덕트는 매우 중요하다고 생각합니다.
여러분의 소중한 시간을 투자할 가치가 있는 미리캔버스인지 한번 더 고민 후 지원해 주세요."
월급쟁이부자들(주),리액트 네이티브 엔지니어(RN),"? React Native를 통한 모바일 애플리케이션 구추기&유지 관리
? 신규 기능 설계, 개발 및 테스트
? 애플리케이션 성능, 품질 및 반응성 보장
? 기술적 문제/버그 식별 및 해결
? 코드 리뷰 참여를 통한 품질 유지 및 표준&모범사례 충족 확인
? 지속적인 클라이언트 코드 리팩토링
? 기술스택
- 프레임워크 : React.js, React-Native
- 언어 : Javascript (Typescript)
- 상태관리 : Redux, Redux Toolkit
- 스타일 : Styled Component, Emotion
- 비동기 처리 : React Query
- 컨벤션 : Eslint, Prettier
- 기타 : Firebase, Storybook, Slack, Confluence, Jira, Github","? React 또는 React Native를 활용한 2년 이상의 경험을 또는 이에 준하는 역량을 가지신 분
? Modern Javascript(ES6) 기반의 Javascript 생태계에 익숙하신 분
? 유지보수가 쉽고 확장 가능한 코드 설계에 대한 끝 없는 욕심을 갖고 계신 분
? 주도적인 일정관리에 능하신 분
? 문제 해결 능력과 요구사항을 세밀하게 살필 수 있는 분
? 새로운 기술에 관심이 많고 꾸준히 스스로 학습하시는 분
? 긍정적 사고와 책임감을 바탕으로 원활한 커뮤니케이션을 하시는 분","? 네이티브(iOS, Android) 기반 개발 및 출시 경험이 있으신 분
? Typescript를 활용한 상용 서비스 개발 경험이 있으신 분
? 수준 높은 코드 리뷰 문화에 대한 관심이 있으신 분
? 개발 문서, 기술 설명서, API 가이드 등 technical writing에 대하여 능동적이신 분
? 애자일 개발 환경에서의 주도적인 개발 경험이 있으신 분
? 프론트엔드 테스트 (Unit, E2E) 코드 작성 경험이 있으신 분"
(주)피플리,백엔드 경력 개발자_플랫폼사업부,"? 백엔드 서버 기능 설계 및 구현
? 인프라 설계 및 구축, 관리","? JAVA 기반 개발 3년 이상의 실무 경력 혹은 이에 준하는 역량 보유자
? Spring Framework / Spring Boot 기반 개발 경험 보유자
? RESTFul API 설계 및 구축 경험 보유자
? JPA, QueryDSL 등 Hibernate 사용 경험(ORM에 대한 개념)
? MySQL, MariaDB 혹은 다른 RDBMS 사용 경험","? 데이터 마이그레이션 경험(DB to DB)
? Elasticsearch 사용 경험
? Redis 사용 경험
? AWS 인프라 관리 및 구축 경험 보유자
? 모바일앱(Android, IOS) 및 웹 백엔드 환경 개발 경험 보유자
? 컴퓨터공학 또는 소프트웨어학과 등 관련 학과 전공자"
(주)엘리스,프로덕트 디자이너,"1. 엘리스 교육, 평가, 및 클라우드 사업 관련된 플랫폼 UX 설계 및 UI 디자인
2. PM, 개발자 및 유관 부서와 협업하여 지속적인 UI/UX 고도화
3. 관리자, 학습자 등 다양한 사용자 관점에서 엘리스 플랫폼 개선
4. 일관된 사용성을 위한 엘리스 플랫폼 디자인 시스템 유지보수","? 5년 이상의 Web/App 프로덕트 디자인 경력
? 데이터 기반의 디자인 의사 결정 능력
? Visual hierarchy 및 디자인 시스템 이해
? 개발팀 및 유관부서와의 원활한 커뮤니케이션 능력
? 디자인 툴(Figma)에 대한 높은 숙련도
? 디자인 시스템에 대한 설계 경험 및 깊은 이해도

[인재상]
? 주도적으로 업무하고 우선순위를 판단할 수 있는 능력
? 논리적(데이터 기반)으로 디자인 의도 설명 가능
? 적극적인 시도와 실수에 대한 두려움 없는 자세
? 소통과 협업 중요시하며 피드백 수용 능력
? 디자인 결과의 완결성 유지 및 최적화 관리 능력
? 지속적인 UX 지식과 전문성 향상 의지","? 프로덕트 총괄 또는 디자인팀 리드 경험
? 국내 대표 IT 기업/스타트업에서 그로스 경험
? SaaS 서비스 설계 경험
? HTML/CSS/JS 및 애자일 개발 프로세스에 대한 이해"
(주)마켓보로,Data Product Manager(PM/PO),"?마켓보로 Data PM으로 합류하시면 이런 일을 해요
? Data Product의 목표/로드맵을 수립하고 매니징합니다.
? 상품 추천, 대체 상품, 가격 추이, 업종 분석 등 Data 관련 솔루션을 도출하고 우선순위를 결정합니다.
? 담당 프로덕트를 리드하여 개발, 디자인, 마케팅 등 전반에 걸쳐 프로덕트를 주도하는 역할을 합니다.
? 마켓보로 이커머스 프로덕트의 Full-Cycle을 파악하고 문제를 발견, 과제를 도출하여 프로젝트를 리드합니다.
? 유효한 가설을 수립하고, 실험을 통해 도출된 인사이트를 기반으로 가설을 검증하며, 끊임없는 반복을 통해 프로덕트 마켓핏을 찾고, 제품을 고도화 합니다.
? 프로덕트 개선을 위한 로드맵, 우선순위, 유즈케이스를 만들어내고 집요한 커뮤니케이션을 통해 조율하여 고객 불편을 초래하는 병목 지점을 파악하고 제거합니다.","?이런 분을 찾고 있어요
? 7년 이상의 프로덕트 관련 또는 그에 준하는 경험을 가지신 분
? 프로덕트의 정의/설계/개선 경험과 함께 프로젝트를 주도적으로 이끌며 비즈니스와 프로덕트에 유의미한 성과를 만들거나, 실패를 통해 러닝한 경험이 있으신 분
? 유관부서, 다른 직군 등 다양한 이해관계자와의 뛰어난 커뮤니케이션 스킬을 보유하신 분
? 프로덕트 라이프 사이클과 AARRR에 대한 이해가 있으신 분
? 데이터 분석 도구를 통해 인사이트 도출을 할 수 있는 분","?이런 분이라면 더 좋아요!
? 프로덕트의 핵심 지표 정의에서부터 비즈니스 모델 설계, 액션 아이템 추진 및 결과 도출까지 서비스의 생애 주기를 담당하며 프로덕트의 성장을 드라이브 하는 역할을 해보신 분
? 문제를 정의하고 해결안 제안-실행을 통한 비즈니스 임팩트를 만들어보신 분
? B2B 서비스 혹은 이커머스 PO/PM 경력"
넷스루(주),웹사이트 마케팅 데이터 애널리틱스 및 태깅 서비스 담당자,?자사 솔루션을 이용한 분석 태그 설계 및 이슈 파악/분석 등 프로젝트 수행,"?관련 업무 경력 3년 이상 보유
?GA(구글 애널리틱스), GTM(구글 태그매니저) 활용 경험 필수
?HTML/css/Javascript 에 대한 이해도 보유","?디지털 캠페인 분석 가능
?주요 마케팅 채널 및 매체 세팅, 집행, 분석, 최적화까지 직접 운영 가능
?캠페인 별 마케팅 퍼널 설계 및 주요 KPI 수립 능력 보유"
(주)몰로코,Staff Machine Learning Engineer,"We seek exceptional machine learning engineers to join us in building a state-of-the-art machine learning system. Moloco's programmatic advertising engine is powered by custom deep neural network models that handle 1M+ QPS at 7 ms prediction latencies.

Moloco is an engineering company founded by software engineers, and machine learning is the core of Moloco's engineering systems. We understand the value of a strong engineering team and strive to hire only the best software engineers, as seen here (https://www.linkedin.com/company/moloco/people/). Check out our case study published by Google: https://cloud.google.com/customers/moloco/","? Design state-of-the-art machine learning models using Tensorflow for real-world, large-scale problems.
? Construct and maintain data pipelines for model training and serving using Google cloud products such as Apache Beam/Dataflow, BigQuery, and BigTable.
? Develop highly scalable model servers on cloud platforms.
? Work with product, account, and infrastructure engineering teams to define future product roadmaps.","? MS or Ph.D. degree in Computer Science or related technical field
? 7+ years of software development experiences in Machine Learning, Deep Learning related areas
? Fluent with one or more programming languages including Python, Java, and Golang.
? Knowledgeable with production-level machine learning applications including Natural Language Processing, computer vision, recommendation systems, and ranking systems.

Preferred Qualifications
? Relevant experience in AdTech
(We truly encourage you to apply even if you don’t have these)
? MS or Ph.D. degree in Computer Science or related technical field"
잡플래닛,기업서비스 영업담당자,"[기업 대상 B2B서비스 영업]
1. 기업 담당자 대상 아웃바운드 영업 및 기업 미팅
2. 서비스 계약 진행 및 고객사 관리
3. 영업 기획 및 매출 관리","- 커뮤니케이션이 원활한 분
- 이해력 및 습득력이 빠른 분
- 열정적이며, 변화에 빠르게 적응이 가능한 분
- 적극적으로 업무에 임하고 책임감이 강한 분
- 뚜렷한 목표 의식과 목표 달성을 위한 전략 수립이 탁월한 분
- (필수)이력서 제출 시 ""자기소개서"" 작성 부탁 드립니다.",#NAME?
콘센트릭스서비스코리아(유),UXUI콘텐츠 디자이너,"- 웹사이트 .com UX/UI 디자인
- UX/UI 디자인 구축/운영 및 고도화
- 비주얼 콘텐츠 제작","- UXUI디자인&콘텐츠디자인 경력 4년이상 ~ 12년 이하
- XD, Figma등 프로토타이핑UX툴 사용 능숙하신 분
- 비주얼이미지 제작/아이데이션 및 컨텐츠 디자인 가능하신 분
- 적극적이며 크리에이티브 하신 분

* 제출서류 *
- 자유형식 이력서/자유형식 포트폴리오/영상 작업물 확인 가능한 사이트 링크
공동으로 작업한 경우 어느 정도로 참여하셨는지에 대해서도 반드시(참여율 / PL,PA등) 기재 부탁드립니다. (인터뷰시 질문내용에 포함될 예정입니다)","- 글로벌 웹사이트, .com 구축/운영 및 관련 대형 프로젝트 경험자 우대
- UX UI 이해도가 높으며, SI 프로젝트 경험 많으신 분
- 글로벌 소셜/컨텐츠 광고제작 등 경험이 있으신 분
- AI이미지 생성 툴 사용가능하신 분(Mid-journey, Stable diffusion등)"
(주)타이드스퀘어,호텔(숙소)시스템 기획,"프리비아/투어비스(B2C플랫폼) UI/UX 개선 및 운영
호텔 국내외 OTA 시스템 연동 및 운영
호텔예약관리 백엔드시스템 기획 및 운영
제휴사(이베이, 11번가 등) 판매제휴 연동 및 운영
정책 수립, 기능 정의, 스토리 보드 등 커뮤니케이션에 필요한 기획 문서 작성
Business Intelligence 툴을 통한 보고서 기획 및 운영","3년 이상의 Mobile/Web 서비스 기획 경험이 있는 분
기능 정의서, 스토리보드 등 문서 생성 및 관리 능력이 있는 분
문제해결을 위해 다양한 직군과 원할한 커뮤니케이션이 능통한 분
서비스 구현에 영향을 줄 수 있는 기술, 보안, 법적 제약사항 등을 고민할 수 있는 분
신규 서비스에 대한 도전 의식과 배우고자 하는 열정이 있으신 분
기획부터 운영까지 서비스에 대한 책임감으로 업무를 수행하시는 분

지원시 첨부
서비스 제안서 (본인 참여)
화면기획/설계서 또는 Mock-up (본인 참여)","숙박플랫폼에 근무하신 경험
여행 플랫폼에 대한 프로세스 이해가 높은 분
API 연동 분석 및 프로세스에 대한 이해도가 있으신 분
다양한 형태의 판매채널 확대에 따른 IT 지식 기반을 바탕으로 팔로업이 가능한 분
React나 Vue.js와 같은 프론트 프레임워크를 기반한 서비스를 구축/운영 경험이 있으신 분
E-Commerce 구축 프로젝트에 참여 경험이 있으신 분
HCI에 기반한 사고 확장이 가능하거나 Contextual Design에 대한 이해가 있으신 분.
GA4와 같은 분석툴 데이터 기반 서비스 기획 경험
영문 비즈니스 메일 커뮤니케이션 경험
Optimization tool 사용 경험
검색 데이터 분석 경험
신규 서비스 기획부터 서비스 런칭까지 경험을 보유하신 분
브랜딩이나 디자인에 대한 기초적인 이해가 있으신 분
주도적으로 문제 해결방안을 정의하고 이를 서비스로 구현해 보신 분"
나누미문화예술(주),문화예술 프로그램 그래픽 디자이너 채용,· 문화예술프로그램 그래픽 디자인,"· 대졸 이상
· 경력 : 경력 3년 이상","· 공모전 입상자
· 유관업무 경력자 (3년)
· 전공 : 산업디자인 / 시각디자"
나누미문화예술(주),문화예술 및 행사기획자 모집,"· '공공기관 제안서' 기획 제안서 작성
· 문화예술 프로그램 기획 및 운영","· 학력 : 대졸이상
· 경력 : 경력 2년 이상","· 공모전 입상자
· 컴퓨터 활용 능력 우수자
· 프리젠테이션 능력우수자
· 문서작성 우수자
· 유관업무 관련 (2년)
· 국가(공공)기관 출신자
· 공공기관제안서 작성자 우대
· 전공 : 광고홍보학, 신문방송, 언론미디어학, 기획 마케팅 학"
(주)윌로그,HW 제품검증(HW QA Engineer) 담당자 경력직,"이런 일을 함께 해요.
- H/W 제품의 기능, 성능 및 안정성을 검증하고 품질 및 제품 신뢰성을 확보합니다.
- 신뢰성(환경, 유통)을 시험하고, 시장 불량과 관련한 문제를 분석하고 해결합니다.
- 다양한 HW 테스트 시험 및 SW 연동 및 교차 시험 (스마트폰 앱, SW 플랫폼 연동) 을 진행합니다.
- User Trial 시험 (필드 시험)을 진행합니다.

[주요 H/W Product]
- NFC/BLE 단말기 H/W 개발
- IOT/M2M/Celluar IOT 단말기 H/W 개발
- IOT Gateway HW 개발","이런 경험을 가진 분을 찾아요.
- 전기/전자/컴퓨터 공학 또는 관련 분야 전공자
- 소형 전자 제품 HW QA(HW 검증) 실무 3년 이상 경력 보유자
- 하드웨어 테스트 케이스 계획 설계 및 실행 경력 보유자
- 테스트 관리 도구 경험 보유자","이런 경험이 있다면 더 도움이 될 것 같아요.
- 전자/전파 공학 또는 이공계열 전공자
- 전기 및 전자 부품 & 회로 이해 능력 보유자
- 시장 불량 데이터 이해 및 엑셀 사용 가능한 자
- 물류 체인 (콜드체인) 제품의 유사 업무 경험 보유자
- 이동통신 및 IOT 기술에 관심 보유 자
- 계획적인 개발 중시 성향 보유자
- 운전 면허 (1,2종) 보유자 (운전 가능자)"
(주)윌로그,HW 생산관리 및 자재구매 담당자 경력직,"이런 일을 함께 해요.
- 하드웨어의 불량률을 최소화하며 원가절감을 이루며 제품생산이 원활하게 이루어질 수 있도록 유지하는 일을 담당합니다.
- 생산관리(생산기술)와 자재 구매(양산 자재 및 개발 자재)를 담당합니다.
생산관리 : 외주처 생산 일정 및 출하 관리, 외주 임가공비 원가분석 업무, 생산프로세스 관리 및 생산 공정 안정화, 제품 출하 관리
자재구매: 전자제품 계열 회로부품자재 구매 및 발주 (내자,외자)
CPU, MCU, Memory, LCD, Batteuy, Connector, PCB, Power IC류 구매 전자 제품 기구 자재 구매 및 발주, 재료비 원가분석 (업체조사, 견적, 단가 협의) 수출입 통관, 관세, 수출입 신고, 자재입출고 관리","이런 경험을 가진 분을 찾아요.
- IoT 단말기, 휴대전화, 스마트폰 등 모바일 HW 제품 구매
- IT 전자 제품 자재 구매 경력 보유자","이런 경험이 있다면 더 도움이 될 것 같아요.
- 전자/컴퓨터 공학 또는 이공계열 학위
- 생산 관리 혹은 자재 구매 관련 업무 경험 보유자
- ERP 구축 또는 ERP 프로그램 사용 경험해보신 분
- 수출입 업무 경험 보유자
- 영어 혹은 중국어 회화 능력 보유자
- 운전면허(1종, 2종) 보유자"
