section-summary,section-stack
"서버/백엔드,프론트엔드,시스템소프트웨어","['Python', 'Django', 'AWS Lambda', 'AngularJS', 'React Native', 'Vue.js', 'JavaScript']"
안드로이드앱,"['Java', 'Android']"
"프론트엔드,안드로이드앱,아이폰앱","['JavaScript', 'TypeScript', 'AngularJS', 'Node.js']"
"프론트엔드,블록체인","['Vue.js', 'Node.js', 'CSS', 'JavaScript', 'ReactJS', 'HTML']"
프론트엔드,"['JavaScript', 'HTML', 'CSS']"
데이터엔지니어,"['Git', 'SVN(Apache Subversion)', 'MVC', 'Java', 'Spring', 'Node.js', 'Apache Tomcat', 'Redis', 'Machine Learning']"
"서버/백엔드,프론트엔드","['AngularJS', 'Node.js', 'Ionic', 'ReactJS', 'MySQL', 'ES6', 'Webpack', 'JavaScript', 'Git']"
"서버/백엔드,시스템/네트워크","['Python', 'Flask', 'Django', 'Linux', 'Docker']"
"프론트엔드,안드로이드앱,아이폰앱","['React Native', 'ReactJS', 'JavaScript', 'HTML', 'CSS', 'Node.js']"
인터넷보안,['Microsoft Azure']
서버/백엔드,"['Java', 'SQL', 'MSSQL(Microsoft SQL Server)', 'Spring']"
프론트엔드,"['HTML', 'JavaScript', 'CSS', 'jQuery']"
프론트엔드,"['JavaScript', 'CSS', 'HTML', 'ES6', 'ReactJS', 'Ruby on Rails']"
서버/백엔드,"['Ruby on Rails', 'Ruby']"
안드로이드앱,"['Kotlin', 'Java']"
안드로이드앱,"['Android', 'Firebase', 'Gradle']"
아이폰앱,"['Swift', 'Firebase']"
"서버/백엔드,안드로이드앱,아이폰앱","['Java', 'PHP', 'JavaScript', 'Apache Tomcat', 'Ubuntu', 'MySQL', 'MariaDB', 'HTML', 'CSS']"
"머신러닝,인공지능(AI)",['Machine Learning']
인공지능(AI),"['C', 'C++']"
"서버/백엔드,게임서버","['C', 'C++']"
서버/백엔드,"['Java', 'Spring', 'MySQL']"
프론트엔드,"['ES6', 'HTML', 'CSS', 'JavaScript', 'jQuery', 'Backbone.js', 'ReactJS', 'Vue.js']"
서버/백엔드,"['Java', 'Spring', 'MySQL', 'Redis', 'GitHub']"
프론트엔드,"['ES6', 'HTML', 'CSS', 'JavaScript', 'jQuery', 'Backbone.js', 'ReactJS']"
프론트엔드,"['JavaScript', 'HTML', 'CSS', 'jQuery', 'Backbone.js', 'ReactJS', 'Vue.js', 'GitHub']"
프론트엔드,"['AngularJS', 'Vue.js', 'JavaScript', 'HTML', 'CSS', 'ReactJS']"
"안드로이드앱,아이폰앱","['JavaScript', 'HTML', 'CSS', 'ReactJS', 'Node.js', 'Vue.js', 'NoSQL', 'MongoDB', 'Python', 'Django', 'Java']"
프론트엔드,"['HTML', 'CSS', 'JavaScript', 'ES6', 'AngularJS', 'React Native', 'ReactJS', 'TypeScript']"
프론트엔드,"['JavaScript', 'ES6', 'ReactJS', 'Vue.js', 'AngularJS', 'TypeScript']"
프론트엔드,"['JavaScript', 'jQuery', '.NET', 'MSSQL(Microsoft SQL Server)', 'SQL']"
서버/백엔드,"['Java', 'Spring Boot', 'MySQL', 'AWS EC2', 'Git']"
"서버/백엔드,프론트엔드,웹풀스택","['Node.js', 'MongoDB', 'AngularJS', 'MySQL', 'ReactJS', 'Redux.js', 'HTML', 'CSS', 'Sass(SCSS)', 'gulp', 'Webpack']"
웹풀스택,"['JavaScript', 'Node.js', 'Java', 'ExpressJS', 'ReactJS']"
서버/백엔드,['Java']
프론트엔드,['JavaScript']
서버/백엔드,"['Ruby', 'Ruby on Rails', 'Database', 'Redis', 'Memcached', 'PostgreSQL']"
프론트엔드,"['Node.js', 'ReactJS', 'Vue.js', 'JavaScript']"
서버/백엔드,"['Java', 'Spring', 'NoSQL', 'OOP']"
프론트엔드,"['HTML', 'CSS', 'JavaScript', 'Git', 'Vue.js', 'ReactJS', 'Node.js', 'Sass(SCSS)', 'jQuery']"
"서버/백엔드,웹풀스택,시스템소프트웨어","['PHP', 'Java', 'Git', 'Spring', 'Spring Boot', 'Node.js', 'Ruby on Rails', 'Vue.js']"
데이터엔지니어,"['Python', 'AWS Lambda', 'PostgreSQL']"
"서버/백엔드,웹풀스택","['Java', 'Spring', 'Linux', 'Database', 'MySQL', 'JavaScript']"
데이터엔지니어,"['Python', 'AWS Lambda', 'PostgreSQL']"
서버/백엔드,"['Ruby', 'Ruby on Rails', 'GraphQL', 'PostgreSQL', 'AWS Simple Queue Service(AWS SQS)']"
프론트엔드,"['ReactJS', 'ES6', 'Redux.js', 'GraphQL']"
"서버/백엔드,웹풀스택","['ReactJS', 'Ruby on Rails', 'Ruby', 'GraphQL']"
"프론트엔드,웹풀스택","['JavaScript', 'HTML', 'CSS']"
"서버/백엔드,웹풀스택","['Java', 'JavaScript', 'Python', 'Ruby', 'Ruby on Rails', 'SQL', 'JUnit', 'Heroku', 'Spring']"
프론트엔드,"['JavaScript', 'HTML', 'CSS', 'ES6', 'ReactJS']"
서버/백엔드,"['Java', 'Apache Spark', 'Spring Boot']"
프론트엔드,"['JavaScript', 'HTML', 'jQuery', 'AngularJS']"
서버/백엔드,"['Spring', 'MSSQL(Microsoft SQL Server)', 'SQL', 'Java']"
프론트엔드,"['HTML', 'JavaScript', 'CSS', 'jQuery']"
"서버/백엔드,웹풀스택","['Java', 'Oracle', 'JIRA', 'Git']"
"서버/백엔드,데이터엔지니어","['Database', 'SQL', 'Ruby on Rails']"
"서버/백엔드,프론트엔드","['Java', 'JavaScript']"
"서버/백엔드,프론트엔드","['Python', 'Django', 'JavaScript', 'ReactJS', 'Vue.js', 'Docker']"
안드로이드앱,"['Kotlin', 'Android', 'React Native']"
"서버/백엔드,프론트엔드,웹풀스택","['React Native', 'Ruby', 'Python', 'Go', 'Node.js', 'Ruby on Rails', 'Django', 'ExpressJS', 'Docker', 'Linux', 'NoSQL']"
서버/백엔드,"['Git', 'Docker', 'Java', 'Spring', 'Elastic Stack', 'Redis']"
서버/백엔드,"['Java', 'Git', 'Jenkins', 'Docker', 'Redis', 'Linux']"
"서버/백엔드,프론트엔드,웹풀스택","['Kotlin', 'Vue.js', 'ReactJS', 'Spring', 'Spring Boot']"
"안드로이드앱,인공지능(AI),사물인터넷(IoT)","['Kotlin', 'Java', 'Android']"
"서버/백엔드,웹풀스택","['ES6', 'ReactJS', 'AngularJS', 'Vue.js', 'JavaScript', 'Spring Cloud', 'Kubernetes', 'AWS EKS']"
프론트엔드,"['ES6', 'AngularJS', 'JavaScript', 'HTML', 'CSS']"
서버/백엔드,"['Java', 'MySQL', 'Linux']"
게임클라이언트,"['Unity', 'C#']"
"서버/백엔드,웹풀스택","['Python', 'Django', 'Aurora DB', 'PostgreSQL', 'MySQL', 'Docker', 'GitHub', 'GitLab', 'Terraform']"
"프론트엔드,웹풀스택","['JavaScript', 'ReactJS', 'Vue.js', 'Node.js']"
프론트엔드,"['TypeScript', 'Sass(SCSS)', 'ReactJS']"
서버/백엔드,"['TypeScript', 'Node.js', 'GraphQL', 'MySQL', 'Kubernetes']"
"서버/백엔드,시스템/네트워크","['Java', 'Python']"
"프론트엔드,웹풀스택","['Java', 'JavaScript']"
서버/백엔드,"['Docker', 'GraphQL', 'TypeScript', 'Node.js']"
프론트엔드,"['Docker', 'GraphQL', 'Vue.js', 'ES6']"
"프론트엔드,웹풀스택","['ES6', 'CSS', 'HTML', 'TypeScript', 'JavaScript', 'Vue.js']"
"서버/백엔드,머신러닝,인공지능(AI)","['Docker', 'Python', 'Django', 'MySQL', 'PostgreSQL', 'Sass(SCSS)', 'Jenkins', 'Tensorflow', 'PyTorch', 'Redis', 'AWS EC2', 'Microsoft Azure', 'AWS RDS']"
응용프로그램,"['C', 'C++']"
"서버/백엔드,프론트엔드,웹풀스택","['NoSQL', 'Java', 'JavaScript', 'PostgreSQL', 'PHP', 'MySQL', 'Python']"
"서버/백엔드,웹풀스택,시스템/네트워크","['PHP', 'C', 'C++', 'Python', 'Java', 'Docker', 'Spring Boot']"
"서버/백엔드,프론트엔드,웹풀스택","['Git', 'Apache Tomcat', 'PHP', 'Python', 'GitLab', 'Linux', 'JavaScript']"
"서버/백엔드,프론트엔드,웹풀스택","['Linux', 'JavaScript', 'OOP', 'Git', 'Node.js', 'ReactJS', 'MongoDB', 'PHP', 'Java', 'Python', 'MySQL']"
"서버/백엔드,프론트엔드,웹풀스택","['PHP', 'Apache Tomcat', 'MySQL', 'PostgreSQL', 'Linux', 'JavaScript', 'Java']"
"서버/백엔드,프론트엔드,웹풀스택","['Java', 'MySQL', 'PHP', 'Linux', 'Python', 'Apache Tomcat', 'AngularJS', 'Elasticsearch', 'JavaScript', 'jQuery', 'Node.js', 'Redis', 'ReactJS']"
"서버/백엔드,웹풀스택","['Java', 'Spring', 'MySQL', 'jQuery', 'JavaScript']"
"프론트엔드,안드로이드앱,아이폰앱","['JavaScript', 'jQuery', 'Swift', 'Java', 'Android', 'MySQL', 'HTML', 'CSS', 'Spring']"
프론트엔드,"['JavaScript', 'Node.js', 'ReactJS', 'jQuery', 'Firebase']"
"안드로이드앱,모바일게임,게임클라이언트","['C++', 'Unity', 'C#', 'Android', 'iOS']"
프론트엔드,"['AngularJS', 'jQuery', 'HTML', 'CSS', 'JavaScript', 'ReactJS', 'Node.js', 'Elasticsearch']"
"서버/백엔드,시스템/네트워크,시스템소프트웨어","['PHP', 'JavaScript', 'HTML', 'Bootstrap', 'Google Cloud Platform']"
"서버/백엔드,프론트엔드,웹풀스택",['JavaScript']
"서버/백엔드,프론트엔드","['Java', 'MySQL']"
프론트엔드,['Python']
서버/백엔드,"['Docker', 'Python', 'Django', 'MySQL', 'PostgreSQL']"
"서버/백엔드,게임서버","['Node.js', 'ExpressJS', 'MySQL', 'Git', 'JavaScript']"
게임클라이언트,"['JavaScript', 'Unity']"
"프론트엔드,웹풀스택,모바일게임","['HTML', 'JavaScript', 'CSS', 'Git', 'Vue.js', 'TypeScript']"
"서버/백엔드,프론트엔드,웹풀스택","['HTML', 'CSS', 'Sass(SCSS)', 'Vue.js', 'JavaScript', 'jQuery', 'Node.js', 'ReactJS', 'AngularJS']"
"웹풀스택,안드로이드앱,아이폰앱",['Java']
"프론트엔드,웹풀스택","['JavaScript', 'CSS', 'Ajax', 'HTML', 'jQuery']"
"서버/백엔드,프론트엔드,웹풀스택","['Ubuntu', 'MySQL', 'AWS RDS', 'Redis', 'AngularJS', 'React Native', 'PHP', 'Python', 'RabbitMQ', 'JavaScript', 'Vue.js']"
안드로이드앱,['Android']
"서버/백엔드,웹풀스택","['Amazon Web Services(AWS)', 'MySQL', 'Ruby on Rails', 'Jenkins']"
"서버/백엔드,웹풀스택","['MySQL', 'Java', 'Node.js', 'Kotlin', 'Git', 'React Native']"
"서버/백엔드,데이터엔지니어,시스템/네트워크","['Java', 'Python', 'Node.js', 'MySQL']"
안드로이드앱,"['Kotlin', 'RxJava', 'Java', 'Android', 'Git', 'Firebase', 'Realm', 'Retrofit']"
아이폰앱,"['iOS', 'Swift', 'Objective-C', 'Git', 'RxSwift', 'Realm', 'Google Firebase Crashlytics', 'Firebase']"
"프론트엔드,시스템소프트웨어,사물인터넷(IoT)","['Java', 'JPA(Java Persistent API)', 'Elasticsearch', 'OpenStack', 'GCP(Google Cloud Platform)', 'ReactJS']"
프론트엔드,"['ReactJS', 'Redux.js', 'TypeScript', 'RxJS', 'CSS', 'HTML', 'JavaScript', 'ES6']"
"시스템/네트워크,응용프로그램","['C', 'C++', 'C#', 'WPF', 'TCP/IP']"
"서버/백엔드,웹풀스택","['Ruby on Rails', 'Python', 'Redis', 'Nginx', 'PostgreSQL', 'Amazon Web Services(AWS)']"
"서버/백엔드,웹풀스택,데이터엔지니어","['JavaScript', 'Python', 'C++', 'OpenLayers', 'WebGL']"
응용프로그램,"['C', 'C++']"
응용프로그램,"['C++', 'iOS', 'Objective-C']"
"프론트엔드,응용프로그램","['JavaScript', 'HTML', 'CSS', 'jQuery', 'JSP', 'ASP', 'REST API', 'Node.js', 'Angular']"
"서버/백엔드,응용프로그램","['Shell Script', 'Perl', 'Python', 'MySQL', 'Oracle', 'MongoDB', 'Docker']"
프론트엔드,"['MSSQL(Microsoft SQL Server)', 'SQL', '.NET', 'jQuery', 'JavaScript']"
"프론트엔드,웹풀스택","['ReactJS', 'Vue.js', 'AngularJS', 'JavaScript']"
"서버/백엔드,시스템소프트웨어,응용프로그램","['MSSQL(Microsoft SQL Server)', 'PostgreSQL', 'Microsoft IIS', 'Apache', 'C', 'C#', 'C++', 'ASP.NET']"
"모바일게임,게임클라이언트","['C', 'C#', 'C++', 'Unity']"
안드로이드앱,"['Java', 'Kotlin', 'RxJava']"
아이폰앱,"['Objective-C', 'Swift', 'RxSwift', 'iOS']"
아이폰앱,"['Swift', 'JavaScript', 'Java', 'iOS']"
안드로이드앱,"['Java', 'Android', 'MVVM(Model-View-ViewModel)', 'Kotlin']"
아이폰앱,"['Objective-C', 'Swift', 'RxSwift', 'MVVM(Model-View-ViewModel)']"
안드로이드앱,"['Kotlin', 'Java']"
아이폰앱,"['Swift', 'Objective-C']"
"서버/백엔드,프론트엔드,안드로이드앱","['JavaScript', 'Git']"
아이폰앱,['Swift']
안드로이드앱,"['Kotlin', 'Java']"
아이폰앱,"['Swift', 'Objective-C']"
안드로이드앱,"['Android', 'Kotlin']"
"서버/백엔드,웹풀스택,안드로이드앱","['Java', 'SQL', 'Android']"
"서버/백엔드,안드로이드앱,아이폰앱","['Swift', 'HTML', 'Objective-C']"
안드로이드앱,"['Java', 'Kotlin', 'Android', 'Git']"
아이폰앱,"['Swift', 'iOS', 'RxSwift', 'Git']"
"서버/백엔드,웹풀스택","['PHP', 'JavaScript', 'Java']"
안드로이드앱,"['Android', 'Java', 'XML']"
"프론트엔드,아이폰앱","['XML', 'iOS', 'Swift']"
안드로이드앱,"['Java', 'Kotlin']"
아이폰앱,"['Swift', 'Objective-C']"
안드로이드앱,"['React Native', 'Kotlin']"
아이폰앱,"['React Native', 'Objective-C']"
안드로이드앱,['Kotlin']
"안드로이드앱,블록체인",['Java']
"아이폰앱,블록체인","['iOS', 'Swift']"
"서버/백엔드,프론트엔드,웹풀스택","['JavaScript', 'Node.js', 'ReactJS', 'React Native', 'PostgreSQL', 'Git', 'Linux']"
안드로이드앱,"['Java', 'Kotlin']"
아이폰앱,['Swift']
"모바일게임,게임클라이언트","['Jenkins', 'Git', 'Unity', 'C#', 'iOS', 'Android']"
아이폰앱,"['Swift', 'iOS', 'RxSwift']"
"서버/백엔드,프론트엔드","['PHP', 'Node.js', 'MVC', 'jQuery']"
"서버/백엔드,웹풀스택","['Amazon Web Services(AWS)', 'Spring', 'Java', 'MySQL']"
"서버/백엔드,프론트엔드,웹풀스택","['MySQL', 'Ruby', 'Ruby on Rails', 'jQuery', 'HTML', 'Sass(SCSS)']"
"머신러닝,인공지능(AI),데이터엔지니어","['Python', 'Tensorflow', 'Keras', 'MongoDB', 'Ubuntu']"
안드로이드앱,['Android']
"서버/백엔드,시스템소프트웨어,응용프로그램","['C#', 'MySQL', 'MongoDB', 'Redis']"
"서버/백엔드,프론트엔드,웹풀스택","['Linux', 'Git', 'PostgreSQL', 'React Native', 'ReactJS', 'Node.js', 'JavaScript']"
"시스템/네트워크,응용프로그램","['C++', 'TCP/IP', 'WPF', 'C']"
"머신러닝,인공지능(AI),데이터엔지니어","['Python', 'Machine Learning']"
"서버/백엔드,시스템소프트웨어,응용프로그램","['Java', 'Scala', 'Amazon Web Services(AWS)', 'REST API', 'NoSQL']"
"웹풀스택,시스템/네트워크","['Python', 'Django', 'HTML', 'Sass(SCSS)', 'jQuery']"
"서버/백엔드,머신러닝,시스템/네트워크","['Django', 'Python', 'Docker', 'Ubuntu']"
프론트엔드,"['HTML', 'JavaScript']"
"프론트엔드,웹풀스택,안드로이드앱","['HTML', 'CSS', 'JavaScript']"
"서버/백엔드,웹풀스택,데이터엔지니어","['Node.js', 'MongoDB']"
"머신러닝,인공지능(AI)","['Python', 'Machine Learning']"
서버/백엔드,"['Flask', 'Python', 'Git', 'PostgreSQL']"
프론트엔드,"['HTML', 'CSS', 'JavaScript', 'ReactJS', 'Next.js', 'Webpack', 'Electron']"
"서버/백엔드,프론트엔드,웹풀스택","['Java', 'Spring', 'Amazon Web Services(AWS)', 'AWS S3', 'AWS EC2', 'AWS ElastiCache', 'jQuery', 'MySQL', 'MyBatis', 'Aurora DB']"
"서버/백엔드,프론트엔드,웹풀스택","['Amazon Web Services(AWS)', 'JavaScript', 'React Native', 'Git', 'PHP', 'AWS RDS']"
"서버/백엔드,웹풀스택,시스템/네트워크","['AWS EC2', 'AngularJS', 'PHP', 'jQuery', 'HTML', 'MySQL']"
"서버/백엔드,시스템/네트워크,응용프로그램","['Ubuntu', 'Python', 'MySQL', 'PostgreSQL', 'MongoDB']"
"머신러닝,인공지능(AI),데이터엔지니어","['Python', 'Tensorflow', 'Keras', 'PyTorch', 'CUDA', 'Scikit-Learn']"
데이터엔지니어,"['Apache Hadoop', 'Java']"
"서버/백엔드,프론트엔드,웹풀스택","['Ruby', 'Ruby on Rails', 'JavaScript']"
"안드로이드앱,아이폰앱","['Android', 'iOS', 'Swift']"
서버/백엔드,"['Node.js', 'Kubernetes', 'Jenkins', 'AWS DynamoDB']"
"프론트엔드,웹풀스택","['HTML', 'JavaScript', 'Python', 'CSS']"
프론트엔드,"['ES6', 'JavaScript', 'HTML', 'CSS', 'RxJS', 'TypeScript', 'Redux.js', 'ReactJS']"
서버/백엔드,"['Python', 'Java']"
서버/백엔드,"['Amazon Web Services(AWS)', 'PostgreSQL', 'Nginx', 'Redis', 'Python', 'Ruby on Rails']"
"안드로이드앱,아이폰앱","['Swift', 'Java', 'Kotlin', 'Ionic']"
서버/백엔드,"['Git', 'Naver Cloud Platform', 'Python', 'Nginx', 'Flask', 'SQLAlchemy', 'Ubuntu', 'MariaDB', 'MySQL', 'PostgreSQL']"
프론트엔드,"['Electron', 'Webpack', 'Next.js', 'ReactJS', 'JavaScript', 'CSS', 'HTML']"
서버/백엔드,"['Node.js', 'JavaScript', 'AWS ElasticBeanstalk', 'MongoDB']"
"머신러닝,인공지능(AI),데이터엔지니어","['Python', 'Deep Learning', 'NLP']"
"서버/백엔드,프론트엔드,웹풀스택","['ReactJS', 'JavaScript']"
"서버/백엔드,웹풀스택,시스템/네트워크","['Python', 'Node.js', 'Linux', 'Database']"
"프론트엔드,웹풀스택","['Linux', 'PHP', 'AWS ECS', 'Docker']"
서버/백엔드,"['Python', 'Docker', 'Linux']"
"안드로이드앱,아이폰앱","['Linux', 'Docker', 'Amazon Web Services(AWS)']"
데이터엔지니어,"['Linux', 'Amazon Web Services(AWS)', 'Python']"
머신러닝,"['Linux', 'Python', 'SQL']"
"서버/백엔드,시스템소프트웨어","['NoSQL', 'Database', 'C']"
"서버/백엔드,웹풀스택,인공지능(AI)","['AWS EC2', 'Java', 'Python']"
"서버/백엔드,프론트엔드,웹풀스택","['Vue.js', 'Node.js', 'MySQL', 'Amazon Web Services(AWS)']"
"서버/백엔드,프론트엔드,웹풀스택","['ASP.NET', 'JavaScript', 'jQuery', 'HTML', 'CSS']"
서버/백엔드,"['Ruby', 'Ruby on Rails']"
"웹풀스택,시스템/네트워크,사물인터넷(IoT)","['Java', 'JavaScript', 'Docker', 'SQL', 'ReactJS', 'Scala']"
안드로이드앱,['React Native']
아이폰앱,['React Native']
"아이폰앱,인공지능(AI),응용프로그램","['iOS', 'Swift']"
"안드로이드앱,인공지능(AI),응용프로그램","['Android', 'Java', 'RxJava', 'Kotlin']"
"서버/백엔드,웹풀스택,인공지능(AI)","['Go', 'GCP(Google Cloud Platform)', 'Kubernetes', 'Docker']"
"프론트엔드,웹풀스택","['ReactJS', 'JavaScript']"
"서버/백엔드,웹풀스택","['JavaScript', 'Node.js', 'MySQL', 'REST API', 'AWS Lambda', 'Linux', 'HTML', 'CSS', 'ExpressJS', 'Mocha']"
"머신러닝,인공지능(AI),데이터엔지니어","['C#', 'C++', 'Java', 'Spring', 'Git', 'PHP']"
"서버/백엔드,프론트엔드,웹풀스택","['Node.js', 'Python', 'MySQL', 'AWS RDS', 'AWS EC2', 'Django', 'Ruby on Rails', 'Vue.js', 'SQL', 'Docker', 'Database', 'Git']"
"프론트엔드,웹풀스택","['ReactJS', 'TypeScript', 'HTML', 'JavaScript', 'styled-components', 'React Native']"
아이폰앱,"['RxSwift', 'MVVM(Model-View-ViewModel)', 'Jenkins', 'Realm', 'GitHub', 'Firebase', 'Azure Service Fabric']"
"서버/백엔드,프론트엔드","['REST API', 'Node.js', 'ReactJS', 'TypeScript', 'ES6', 'Redux.js', 'Webpack']"
"서버/백엔드,프론트엔드,웹풀스택","['Node.js', 'Angular', 'ReactJS', 'AWS DynamoDB', 'NoSQL', 'TypeScript']"
"서버/백엔드,프론트엔드","['JavaScript', 'Java', 'C#', 'ReactJS', 'Node.js']"
안드로이드앱,['Kotlin']
서버/백엔드,"['Ruby on Rails', 'Amazon Web Services(AWS)', 'Docker']"
"시스템/네트워크,사물인터넷(IoT),응용프로그램","['Windows Embedded', 'C#']"
머신러닝,"['Tensorflow', 'Keras', 'Elasticsearch']"
"모바일게임,게임클라이언트,게임서버","['Spring', 'C++', 'C#']"
"서버/백엔드,웹풀스택","['MSSQL(Microsoft SQL Server)', 'jQuery', 'Java', 'Spring', 'Oracle', 'MySQL']"
"안드로이드앱,아이폰앱,게임클라이언트","['C', 'C++', 'C#', 'Java']"
"안드로이드앱,아이폰앱,게임클라이언트","['C', 'C#', 'C++', 'Java']"
"서버/백엔드,프론트엔드,웹풀스택","['Elasticsearch', 'Redis', 'Ruby on Rails', 'Ruby']"
"서버/백엔드,모바일게임,게임서버","['C#', 'Go', 'Python', 'C++']"
데이터엔지니어,"['Java', 'Spring', 'Python', 'Scala', 'Azure Text Analytics']"
"서버/백엔드,프론트엔드,웹풀스택","['Java', 'Spring', 'MySQL', 'MSSQL(Microsoft SQL Server)']"
"서버/백엔드,게임클라이언트","['C', 'C++']"
"서버/백엔드,게임서버","['Linux', 'NoSQL', 'C', 'C++']"
"머신러닝,시스템/네트워크,시스템소프트웨어","['Linux kernel', 'Machine Learning', 'OpenCV']"
데이터엔지니어,"['Python', 'Data mining']"
"서버/백엔드,웹풀스택","['Python', 'Django', 'REST API']"
프론트엔드,"['AngularJS', 'Angular']"
"서버/백엔드,프론트엔드","['NLP', 'Elasticsearch', 'Google API']"
"서버/백엔드,프론트엔드,데이터엔지니어","['GCP(Google Cloud Platform)', 'Python', 'Git']"
"서버/백엔드,프론트엔드,데이터엔지니어","['Git', 'Python', 'GCP(Google Cloud Platform)']"
"서버/백엔드,프론트엔드,웹풀스택","['JavaScript', 'HTML', 'CSS', 'ReactJS', 'Vue.js', 'REST API', 'Git']"
"서버/백엔드,시스템/네트워크","['Flask', 'SQLAlchemy', 'Redis', 'Celery', 'Docker', 'REST API']"
"서버/백엔드,프론트엔드,시스템/네트워크","['Flask', 'SQLAlchemy', 'Docker', 'Celery', 'Redis', 'REST API']"
"서버/백엔드,프론트엔드,아이폰앱","['Swift', 'RxSwift', 'REST API', 'Git', 'iOS']"
"서버/백엔드,안드로이드앱","['Firebase', 'RxJava', 'Java', 'Kotlin', 'Android', 'REST API', 'Git']"
